"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","225","Non-existent field returns HTTP 400 validation error","","Fri Jul 24 09:47:52 UTC 2026","passed","Fri Jul 24 09:47:52 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnValidationErrorForUnknownField"
"","458","Query movies list with pagination limit via GraphQL variables","","Fri Jul 24 09:47:53 UTC 2026","passed","Fri Jul 24 09:47:54 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldListMoviesWithPaginationVariables"
"","3220","POST /auth returns a non-blank token for valid credentials","","Fri Jul 24 09:47:48 UTC 2026","passed","Fri Jul 24 09:47:52 UTC 2026","","com.flamingo.qa.tests.api.rest.AuthTest","com.flamingo.qa.tests.api.rest.AuthTest","shouldCreateAuthToken"
"","8202","Success modal appears after submitting a valid practice form","","Fri Jul 24 09:47:53 UTC 2026","passed","Fri Jul 24 09:48:01 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldShowSuccessModalAfterSubmit"
"","127","Query movies using a fragment and nested publishedBy.name","","Fri Jul 24 09:47:54 UTC 2026","passed","Fri Jul 24 09:47:54 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryWithFragmentAndNestedFields"
"","3201","Delete booking returns 201 and booking is no longer retrievable","","Fri Jul 24 09:47:49 UTC 2026","passed","Fri Jul 24 09:47:53 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldDeleteBooking"
"","9178","Submit practice form with file upload, date picker and state/city dropdowns","","Fri Jul 24 09:47:52 UTC 2026","passed","Fri Jul 24 09:48:01 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldSubmitFormWithUploadDateAndDropdowns"
"","3228","Malformed query returns HTTP 400 with errors and null data","","Fri Jul 24 09:47:48 UTC 2026","passed","Fri Jul 24 09:47:52 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnErrorsForMalformedQuery"
"","4748","Query a single movie by ID using GraphQL variables","","Fri Jul 24 09:47:48 UTC 2026","passed","Fri Jul 24 09:47:53 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldQueryMovieByIdWithVariables"
"","7700","Empty required fields keep the form from submitting","","Fri Jul 24 09:47:52 UTC 2026","passed","Fri Jul 24 09:48:00 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldNotSubmitWhenRequiredFieldsAreEmpty"
"","178","Different GraphQL variable values change pagination result size","","Fri Jul 24 09:47:54 UTC 2026","passed","Fri Jul 24 09:47:54 UTC 2026","","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","com.flamingo.qa.tests.api.graphql.MoviePositiveTest","shouldRespectDifferentVariableValues"
"","1294","Create, get and update booking","","Fri Jul 24 09:47:52 UTC 2026","passed","Fri Jul 24 09:47:54 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateGetAndUpdateBooking"
"","3939","Create booking and retrieve it by id","","Fri Jul 24 09:47:48 UTC 2026","passed","Fri Jul 24 09:47:52 UTC 2026","","com.flamingo.qa.tests.api.rest.BookingCrudTest","com.flamingo.qa.tests.api.rest.BookingCrudTest","shouldCreateAndGetBooking"
"","157","Invalid movie ID returns HTTP 200 with data.movie = null","","Fri Jul 24 09:47:52 UTC 2026","passed","Fri Jul 24 09:47:52 UTC 2026","","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","com.flamingo.qa.tests.api.graphql.MovieNegativeTest","shouldReturnNullForNonExistentMovieId"
"","12590","Invalid email and short mobile keep the form from submitting","","Fri Jul 24 09:47:47 UTC 2026","passed","Fri Jul 24 09:48:00 UTC 2026","","com.flamingo.qa.tests.ui.PracticeFormTest","com.flamingo.qa.tests.ui.PracticeFormTest","shouldNotSubmitWithInvalidEmailAndMobile"
